sentence	label
My 2yr old received this on her 1st b-day and she loved it. This was her first experience with using crayons in the tub, and it was a treat while it lasted. My biggest complaint is that the crayons "shorten" rather quickly so...as they shorten, the harder it is for little and big fingers to get out. It used to frustrate her so I stopped letting her use them. Now she uses the Dorothy fish bowl as a fun water strainer. Elmo is great too, he dries quickly, overnite and he is good to use as a learning tool for the young bather. 	 0
This PWOW ErgoFit earbuds are very good for its price. It's very comfortable and have great sound quailty. One of the feature that I like about this earbuds because it block out background noise and wire cord are well made. For the price, I love it has built-in microphone to answer your calls, a switch to toggle between iPhone or android and a sliding volume control. It can only allow you to adjust music volume only so in order to skip it to next song which you need to do on your phone. Also, they don't hurt my ears after a long-wear. Earbuds and headphones that is more bulky tend to hurt my ears because they fit too full in my ears but this earbuds doesn't hurt my ears at all. I would definitely recommend this to anyone who is looking for a good pair of earbuds that are really cheap with good sound quailty.Pros:* Ultra-soft ErogoFit in-ear earbuds* Multipurpose Remote: Volume control, music switching, hands-free call, open Siri in iPhones* Built-in microphone and answer key: allowing hands-free callingCons:* None so far. But will update if anythingI received this product at a discount in exchange for an honest unbiased review. These opinions are my own and not persuaded in any way by receiving a discount on this product for review.Reviewed by GopowerIf you found my review helpful, please vote 'YES' below. Thank You. 	 0
The description on this erroneously states that it will work for .45 ACP.  It doesn't.  If you try to load .45 ACP with this the cases constantly become hung up when ejecting into the bin.  Instead you need the #45 shell plate.  I'm sure there's nothing wrong with this plate for rifle calibers, but I don't load rifle cartridges on a progressive so its pretty much of no use to me. 	 0
Its always good to have a book that you can't put down. This is the first book I've read by this author. I loved it and the characters are so great.I enjoyed this book.  It was good, but it had 	 1
Received real shopkins. We didn't know about fakes at the time of purchase, but thankfully these were real. 	 0
I cannot wait for sequel. A real cliff hanger. One of Patterson's best. I loved Alex Cross series, but this may be more addicting. 	 0
Great product.  Easy to install and should last for years. 	 0
Sounds great when you turn all the effects off. Can be a pain to get the drivers going. The included mic is a joke. 	 0
i don't know if they are real, but they are pretty good.The only downside is that the top is a bit thick.  The top is a bit too loose and the 	 1
These pads are ok but a bit smaller than most and less absorbant so you have to change them often 	 0
TOOK A WHILE FOR ALL THE FOOD TO BE LESS THAN THE OTHER PASTE 	 1
This replaced the clutch in my old electric car, which was a lot more difficult to move around.I had to replace the crank with the new one, which is 	 1
Received the product in a timely manner.  It does have to be cut to size, but once done, it did the job. 	 0
I saw the Director's Cut and thought I would like it too.  Well, I did and am glad I did.  I am a huge fan of Treme and it is a great movie.  It is a good film to watch once.I really enjoy this show.  I love it.  I love the way it shows the different ways people are different from each other 	 1
This is one of my favorite books, and it is one of my least favorite books.  It is so well written and I am so glad I have read it.  I would recommend it to anyone who loves reading.  I will be reading it again.It was a good book and a fast read. I will read it again. 	 1
Who knew that our kids would want to be retro and listen to old vinyl records?  When we bought our daughter a record player, we realized she couldn't listen to our old 45 speed vinyl singles on it.  This little adaptor did the trick.  This makes more sense than those individual adaptors that have to be inserted into each individual disc.  With this, you just put it on the player and you can plan one 45 after another, then remove it to listen to albums. 	 0
This is my second set of these glasses.  The first lasted over a year before I decided to replace them.  Of the several different types of glasses I have tried these were by far the best, they fit well, fogging was minimal, and the molding did not obscure my vision.  This pair however only lasted a couple months (used about half a dozen times) before a plastic film on the lens began to flake off making them unusable.  I spoke with Amazon, they would not refund or replace due to it being over 60 days.  They suggested I contact the seller.  The seller it turns out is only a distributor and I was referred to ESS to complete a warranty claim.  I called them and was told I could get a replacement lens for about $20.  I told them that was unacceptable for something that should have and has in my experience lasted much longer than a couple months.  So after a few emails and about a month of waiting I did receive a replacement lens at no cost.I understand that periodically manufacturing errors will occur even on the best products but it's frustrating when nobody wants to rectify the problem. Overall I'm happy with the product but very disappointed that Amazon, Sportsman Supply, and ESS were so reluctant to stand behind this product. 	 0
Simply stunning! Another must read. I really can't say anymore than this without giving away the most amazing love story of all time. 	 0
So I have had this fan for a little over a week now. The thing to know about this is it does what it says! It is a swamp cooler that moves air through a wet pad. If you live somewhere that is dry and you know swamp coolers work in your region, then this will work.My unit uses about a full tank of water every day and a half. I live in south central Texas. The only time I really can tell a difference in the air temperature is when I add ice to the water. This moves a lot of air and has many settings such as swing mode, high, medium, low, nature which alternates between the three, and a timer mode. You also have the option to turn the cooling on and off.This fan does what it is advertised to do as long as you are using it in a dry climate. It moves a lot of air and could even be used as a humidifier.UPDATEI have now had this for about a month. I have taken great care of it. It literally was taken out of the box, placed in a corner on flat ground, and turned on and off each day. It worked well for the first month but it is now leaking! I am a handy person and I still can't figure out where the water is coming from. The water storage is in great condition so it has to be something with the hose line or water catching system from the wet pad. I can't figure out where it is coming from. The zip ties used to secure the hose are tight. I'm pretty dissatisfied after spending about $100 	 0
All too quickly I have become an advocate for the families of all victims of sexual abuse. I have read several books about the victims and have found the stories to be great. 	 1
I bought this watch for my wife and she loves it.  She wears it almost every day.  She loves the color and the band.  The band is a nice quality and the clasp is well made.  She's a bit disappointed.I bought this for my husband for his birthday.  He's a huge fan of the sneaker and it fits him so well.  He says it's very comfortable and he's wearing it all the time.  I love the material and the look of it.  The leather is really nice and comfortable.  I just wish it had a more stretchy feel.  The straps are not too long, which makes it easier to pull on.  The leather is soft and looks great.  I'm a size 10 and it's a little tight around the ankles but that's normal with most shoes.  The strap is pretty stiff, but not too tight.  It's a nice looking shoe, but I 	 1
I'm not sure what I would say about the movie. I'm not sure if I would recommend it. If you want to read a book 	 1
it is not working. Too bad that I opened it too late so the return due is missed.... 	 0
I bought the deluxe model (has front wheels).  It's gone to the beach 2 times and to Great Wolf Lodge one time.It's a great catch all for when the older kids peel off shoes, clothes, etc and disappear. It's got a thin deep pocket on the backside big enough for a couple magazines or snacks.The top is mesh so wet things can dry out and sand can fall off things.The back axle has rust on it.  I understand that is my fault for not cleaning it properly after exposing it to salt water.  But it stil works fine.Not sure what the weight limit is, but my  4 yearold has even sat on the solid bottom piece (mesh piece folded back) when he is exhausted.  (make sure the child knows about not putting fingers in wheels).I can get 2 foldable beach chairs hung on the front bar.Little akward to fold.  The front wheels need to be lined up to fit inside the back wheels.  If one forces, I could see where they could be damaged.Only thing that could make this better for me.....cup holders!!!Update: Dec 2011 After nearly 6 years of use, the cart had it's last summer.  The wheels finally fell off.  We reattached them a couple times, but now they keep falling off.  I WILL be getting another. 	 0
My niece just absolutely loves this.  Perfect gift for a toddler. 	 0
I realy liked the gun, nice and smooth work but it just broke. Description says it will not brake within a year and it did not but it broke one year and two months later after purchase. The worst part of it, is that I can NOT get parts for this gun anywhere. The "driver" which broke is easy to replace if you can get it, but you can not, so gun goes to the garbage and I will come back to the Hitachi which parts you can get easly and repair by yourself. 	 0
dogs like it but doesn't last a long time.  I will keep this for the next couple of months.My dogs love this food. 	 1
I am a Dominant is a sweet, sweet, romantic story about a happy, happy, happy couple. The story is told from both the POV of Torey and Danielle's point of view. It was a very sweet story. This was an excellent read. I received a free copy of this book from the author in exchange for an honest review. I love this series. It has all the elements I love to read about. I loved the main characters. The story line is great. The characters are great. I loved reading this book. I just couldn't put it down. It is definitely a must read. I read this book in one sitting and was hooked from the first page. I loved the characters and the story line. I love how it all started. I wish there were more of the same story line. I would recommend this book to anyone. I really enjoyed this book. It was a quick read. I liked that the author didn't just draw me in. I was intrigued. I liked how it was written. I really enjoyed this book. 	 1
If you liked "Tokyo Gore" or "The Girls" then you will love "The Clue".If you liked "Tokyo Gore" or "The Girls", then you will love "The Clue".I think it's going to be 	 1
**I received a free copy of this book in exchange for an honest review. This book was awesome. It was not the best I've read in a while. There was a lot of action, and a little bit of romance. The characters were well developed and the storyline was full of action. I liked the fact that it was free, and it was a free book. I just didn't care for it as much as I did the other books I read. Overall, I liked this book. I really enjoyed this book, it was a little confusing at times, but it was a good book for a short story. I read it in one sitting. I'll be looking for more by this author. I love this series, and this story is awesome. It's a great story about a strong woman who is determined to be happy. She doesn't want to go back to her past and finds the man who she loves. This story is a great read. The characters are well developed, the story is well written and the plot is well written. The romance is great, and the story is a great follow up. This is the second book in the Standalone Series. I was gifted this book in exchange for an honest review. I am a fan of the author's writing and this one had me hooked. I am looking forward to the next book. I am not sure if this is a continuation of the series, but I am not sure it will be a standalone, so I am not sure I will read the next book. It is a great read. 	 1
I have used this twice and so far so good! 	 0
I enjoyed this book. I Was sorry when it ended. I thought the end could have been developed a little more though. All in all I enjoyed this book 	 0
The Dentastix are great. My dogs love them and I buy them when I can find the right price.Although my dogs are large (70 and 78 pounds), they do not care for large treats. Therefore, I buy the medium-sized ones and they are much happier with these. They like the original flavor, although I've tried other flavors and they like them also.Amazon's price ($54.95 for 100 sticks) is more expensive than other retailers. So, shop around. 	 0
This one just keeps on pulling you in and has you wondering what now.  Employing a better proofreader would improve Ms. Edward's results. 	 0
I was a little apprehensive about this one, due to the the comments here. I took the plunge after confirming that it would work with my HP 6540 printer. Setup was easy - but since I run WPA on the wireless side, hooking up to the wired side was a necessity for configuring it (of course - how would it know your key?)The quick start guide was passable, I ended up using the PDF version of the full manual instead.It does run very hot - but since everyone says this about them, I'm sure it's "normal". I'm currently trying to decide whether I will leave it on all the time, or keep the printer and printserver powered off until I need to print. 	 0
This is a classic movie for me.  My family and I watched this movie and reminisced about the old days.  This is a good wholesome movie to watch with the family. 	 0
They are cute but run small and narrow. You can't wear these shoes all day. Order a size up 	 0
Very elegant looking shoe. Nice material. The only problem is that it's a little too large. 	 1
I bought two of these and both work great.  I will keep them in the house and use them when we go to bed.  The first one was a little too big for my cat and it didn't fit.  The second one was too big for my dog and it was too small.  I have to keep them in the house and use them when we go to bed.  I will keep them in the house and use them when we go to bed.  They are very easy to clean and the color is very vibrant.  I would highly recommend them.These are great, but my dog hates them. 	 1
Absolutely lovely dress,will order other colours. It is a wash and wear dress with no ironing necessary. The colours are vibrant, the fabric falls nicely. It is a lovely dress that can transition from work to date. 	 0
More than enough air for a 10 gallon.  I'm using it to power an air driven, in-aquarium box filter and am using the included regulator valve to limit the amount of air.And it's quiet. 	 0
I always buy Lg dvd players. The quality is good but it's not a perfect fit 	 1
Shirt is not sewn as it should be. Uneven and lopsided sides. Looks like material wasn't cut right and they attempted to sew the mess up. Comfortable but looks awkward on 	 0
I have a 2013 2-door Jeep JK and although I cannot open the rear door with this on becuase of the spare tire, I didn't see anything on the market that would allow it anyways.  The build quality of this product is top notch and would recommend. 	 0
Perfect mallet for installing laminate floors. I used this both for hitting the block and installing the transition piece. I read some reviews that there was a rubber odor but I did not find that the case here. 	 0
I really enjoyed reading this book. The characters were well developed and the story flowed well. The writing is well done and the story flows smoothly. The characters are well developed and the story is well developed. The story line is well written and the characters are well developed. I would definitely recommend this book to anyone who enjoys the paranormal.I had to wait on book 2 to finish this story because I didn't want to put the book down.  	 1
Very disappointed.  It was a little predictable at times.  The plot was predictable and the writing was weak.  	 1
Interesting person, great read...recommended it to my sister and she enjoyed it as well 	 0
This was a HOT quick read. Brent and Eve are heading to The Beaudelaire to celebrate New Years and to finally consummate their marriage. Imagine their surprise when Remy (Eve's co-worker and best friend) is there as well. There is a past connection between Brent and Remy that Eve wasn't aware of.Remy wants Eve for himself so will he force Brent out of their marriage or can they come to another arrangement.I have read this book as part of the Seduced: Den of Sin Boxed Set 1 box set. 	 0
I have tried a few brands of cat food and these are the best for my cats.  They do not have the same digestive issues as other brands, and the ingredients are very 	 1
The paper towel holder I received is exactly as advertised. Nothing wrong. Has a little bit of weight to it that keeps it from spinning around the counter when you pull off a paper towel. 	 0
High-end eye guard for use on an electric bill light. The GFCI is a pretty good quality light. 	 1
This thing works great scares the crap out of poor cat but keeps her from trying to catch baseballs on my 70" TV screen 	 0
The quality of the board is okay. This is the set my family had when I was a kid so I went with it. 	 0
This spigot uses a weird little set of jaws, which is a nice bonus. I like the extra size and shape. The jaws are solid and the blade is solid. The handle is straight 	 1
I love love this bag it is exactly what I needed my wallet fits and it's a pretty big, all along with my sunglasses, keys and my new galaxy s5 and still have extra room, I should also mention that it arrived fast. 	 0
My daughter likes these shoes, and has been wearing them for a month.  They are very comfortable.  The only thing is the heel is very loose around her feet.  I would definitely recommend these shoes to anyone.  I am 5'8" and weigh 145 pounds.  I ordered a size 8 and it fit perfect.  I have a hard time finding shoes that fit.  I would recommend these shoes to anyone.Great.  I like that the strap is longer than the boot, which is a bonus.  	 1
I'm pretty impressed with this guy. Light weight but strong. Comfortable in my hand. Less fatigue than using my 1/2" drive. Disassembled a while v8 with it. It handled everything except the head bolts. Hopefully it holds up because I like this thing. 	 0
I started anticipating Felan's story and it kept me engaged. I loved her characters, the way she was self-conscious about her body, and the way her words flowed. The chemistry between her and Lincoln was so intense.I loved the ending. This is a great series for the fans of the series. I will read more by this author.I love the idea of the story and the characters.  I love the way the author created the characters.  I love how the author wrote them.  I love the way the author moved the story along.  I love how the author makes 	 1
Very nice case. I bought it to store my automotive scanner in. Fast delivery, good quality, pretty good price. Cant go wrong. 	 0
20 words are required in this book, and the third is a lot of slang.While the two stories 	 1
I like how there are different puzzle options on each face of each block. Together they represent a food group, complete with info on each food type. The blocks are well made and feel solid. The only negative is the colors on this grain group of foods. It's a bit too beige and plain looking. It can use a little pop of color and contrast. I do appreciate the amount of information that's being presented on such a simple set. 	 0
Sticks well, but over time about a year it showed ripples where I slide it in the iLuv case. I need to learn how to get it replaced. 	 0
My cats -- a kitten and an adult cat -- both enjoy this. I intended it for the adult, but the kitten digs into it, too. I bought Kitten formula and they both like that as well. My cats are growing and thriving and happy. I couldn't ask for anything more. 	 0
Buyer beware. this is farmed, not wild salmon. So bummed I spent $50 on this to treat a dog with cancer. 	 0
These are great soft joint chews. I started giving them to my porkie Bennie before his knee surgery, torn ACL and sublixating patella. Small dogs are prone to knee problems. Bennie had his knee surgery and healed faster than expected. He was jumping 3 weeks after his surgery. His vet after 6 weeks gave him the all clear for duty. I know the Cosequin helped him tremendously and will continue to give them to him. I started giving them to my 13 yo cockapoo. 	 0
Two lethal women, under the control of the legendary Dr. Tiana Gheer, are one and the same. The other, played by the infamous Tiana Gheer, is played by a mysterious and highly talented actress named Louise Mirabella. The two characters are not the same. Mirabella is the most beautiful woman in the world and is a strong character in this film. This film is a must see for any fan of all ages. 	 1
A petite or short is perfect. The wide width is perfect. The fit is perfect. The length is perfect. The color is bright. The material is soft and comfortable. I would definitely recommend this product. It will be a perfect gift for my daughters and she will be very happy with it.I love these shoes!  I have 	 1
I have been reading Robert Jordan's The Lord of the Rings series.  I have been following the series from the very 	 1
Great sports umbrella.  Attractive, holds a large amount of water.  Also, it's a good sized umbrella.I had a lot of fun with this product and it was great.  The only thing I didn't like is that it came with a bunch of extra holes.  The first time I used it I was going to have to replace the holes on the front so I could use it again.  Now I have to 	 1
I have a female golden, and she is an aggressive chewer.  This is the only one I will feed her.  I will also give her the Tylenol 	 1
This is my second pair of these, and they are very comfortable. I have worn them for a couple of hours and they are still warm and comfortable.I bought these for my daughter's birthday and she loves them.  They are very comfortable.I bought this for my husband for his birthday.  He's a huge fan of the 	 1
i got this because i wanted a nice wide width shoe for my husband who is a size 6.5 so i had to get a size down.  He wears a 6.5 so i ordered a size up.  I am 5'8" and this shoe fits him perfectly.  He wears it with jeans and it has a very comfortable feel to it.  It is very light and comfortable.  I highly recommend it for any day wear.Love these shoes!  They are very comfortable, very easy 	 1
Item as described and arrived in a timely manner. 	 0
Great toy for little guys.  The pieces are sturdy and the pieces fit well in the container.  The only thing I don't like about this toy is the cover.  The cover is a 	 1
Small, cheap, does what they are supposed to do, and I will keep my money!Very nice.I bought this for a friend, and he is very happy with the purchase.  The only thing I wish it had 	 1
Arrived as expected box damaged, broke, and the instructions were not clear.  I was disappointed.  If you want to get a solid product, the instruction booklet should have been included.  The instructions are not clear.  The instructions were not clear and the instructions were not clear.  The instructions are very poorly written and are not clear.  If you want to use the instruction booklet, you will need to buy a different set.  I have a hard time finding instruction booklet material that is clear and easy to read.  I am very disappointed with this product.  I ordered a box cutter to use for cutting the instruction booklet.  This product is not clear and I cannot find instructions on how to cut the instructions.  This product is not a good product at all.  I wish the instructions were clearer.  I would have given this product 5 stars if I had not received this product at a discounted price in exchange for my honest review.I really love this blanket. It is very soft and soft. It is soft and warm. I love the way it folds into a blanket. It is not big, it is just very soft and soft. It is nice and comfortable to sleep on. It is very nice quality, it is a 	 1
Really don't like blind boxes because you never end up with at least one of each but a bunch of repeats but love Pusheen 	 0
To date, I have read Nikki's Secret, Text Message and Scrapping the Bone and I have to tell you, William Malmborg delivers. His stories are not for meek, but they are not so far out there that people will be offended or put off by reading them. What I love about Malmborg's work is that it is a little racey, a little raunchy and a whole lot of fun. The story lines flow. Once you start reading, you cannot stop. It's like opening up a huge bag of Dorito's and saying "I'll just have a few". Can't do it. You dive into one of his books and you will be reading until 4 am just to see what the heck Nikki's Secret is, or how is Mallory going to walk into that men's bathroom and do that thing? You just have to find out. Each book is a decadent pleasure, a pure delight that you can sink your teeth into and get lost in the process. Read this guy; if you like raunchy, sexy, a little crazy and a fabulous story. 	 0
When a murder-mystery fiction involving a serial killer with a serial killer history becomes one of the top-grossing thrillers in the world, I can't help but think this is a great book to read.  It's a murder mystery that can be solved with only a few clues.  It's a great read, and I recommend it highly.I was so happy to see the first book in this series! I love the characters and their story line! It's very refreshing to have a new author get to read the series. I liked the first one so much! I read the second one after reading the first one. I was a little disappointed with the first one. I'll be reading the third one to see what happens next. I think the fourth one is awesome! I love the way the books move the story forward. I was so happy to see that the next one will be a movie. I really enjoyed reading about the 	 1
4. 5 stars. Fun, funny read. Miller is Vi's (from Pucked) brother from Pucked. Sunny is Alex's sister. They met in Pucked and in Pucked Up, we find Miller and Sunny trying to get their relationship on track. Miller is a reformed manwhore. He wants to be a better guy and dedicated to Sunny but his past gets in the way. Sunny is the cutest granola-y girl. You definitely pull for them from the start, you want to see these two together. Vi has great scenes full of oversharing and hilarious little stories. 	 0
I found this is not a stretchy shoe, which is a nice bonus for the price. The heel is adjustable, and the heel is also 	 1
I needed to know when it would work with my phone.  I did not have to go to a local store to find it, but I figured if I wanted to take it to the store, I would.  I am a bit skeptical about the reason why some people would not buy this product.  I have the phone and I can use the phone with the same charger.  I just can't get it to work with the phone.  I will update this review if I find out more.Update:  I purchased this product for my wife who is a web developer.  She has a MacBook Air and was able to use it with the web.  The reason I did not give this 5 stars 	 1
Wow, didn't see that coming! Great book as  pages turned in anticipation. Crouch writes like no other. He can be soft and seem predictable until you turn to the next few pages and hard core horror jumps out at you from no where. After reading many of his novels that has kept me trembling in horror through many a night, Luther Kite series come to mind with many others. Ok, as true horror fan, maybe I am a bit delightfully scarred from reading them. Snowbound is one of his softer sides in no way disappointing never-the-less. I enjoyed the pace he set moving the storyline to the finish and what a finish it is. This is a must read. 	 0
Really nice brakes, worth it.I love the materials. I will buy more for the bike.Great product. Great price. I am a 32 year old man who works at a large company. I had no issues with the carpet 	 1
Dont miss out on these books. The characters are well developed and believable, and the story is well told. I had to read this book to get through the first half of it. 	 1
Pretty glass spheres however lights do not stay on very long. 	 0
Excellent historical novel. Love all of her books. Great for all ages.Very well written and full 	 1
I got this for target practice.  It's comfortable and it's easy to carry.  It is so small that it's not easy to get around.  It is very large that it's difficult to put in the trunk of your car.  This is a great choice for shooting and shooting with a pistol.  I also love the fact that it folds up so you don't have to carry it all the way around.  	 1
Not as good as  Fisher Price. Write very light. 	 0
Very well made mail slot saw. The only problem is that it comes with a small screw driver.I had to replace the tool with another one because the first one broke and the second one had no way to turn it on. I ended up with this one.I love it. I have it to keep in my car. I can open a door and 	 1
This is such a fun little set, and the instructions are easy to follow. I would recommend.I bought this for my son for Christmas and he absolutely loves it. The only thing that I do like about it is 	 1
There's nothing like a Brockmann novel to make you feel like you're on the inside of a team. 	 1
Most silicone potholders are too small to be used as a pressure cooker.The handle has a suction cup that is very flexible.  The handle is not flexible at all.  If you are using it in a pressure cooker, it is going to be a little bit of a pain to put it on.  If you are using it in a pressure cooker, you will need to use a more firm handle 	 1
First, I must say... with this product, the dogs love it.  When I put it on their coats, they are all calm, relaxed and happy!  This product is very well made and the dogs look great in it.  The size is perfect and the dog does not have a problem with it.Also, I have had to use a second bag to store the bag for my dogs.  I put the bags on their coats and it took about 30 seconds for them to get used to it.  The bags are really nice and easy to put together.  I highly recommend it.Overall, I was very pleased with this 	 1
I use lens hoods to improve contrast, as well as to provide a bit of physical protection for the lens, since I don't believe in adding a "protective" filter to the front of a lens, except where there is a chemical or severe debris risk. That said, this one is pretty small, so not much protection physically, but if it helps increase contrast, then it will be worth the investment. 	 0
This is a really good movie. The story is very good and the characters are very believable. The acting is top notch and the story is very interesting 	 1
This was a great movie.  I love the movie.  My husband and I both enjoyed it 	 1
These are very comfortable.  They have the wide width which is perfect.  They are warm and 	 1
This book definitely impressed me, and I couldn't put it down.  I have read all the books in this series, and I am looking forward to the next one.  I can't wait to see what happens next.  I will be reading the next book in the series!I love a book that starts with the 	 1
ARC received for reviewOh yeah, another great Cold Fury book. Ryker was amazing and so wonderful not only with his daughters but with Gray. I was expecting her to be a little harder and was pleasantly surprised that she was not. I loved seeing all the old crew hanging out together. I loved all of Zack's attempts at proposing. I can't wait to see who's up next. 	 0
Better than I expected, sort of an entertaining movie.  I saw it for the first time last night and 	 1
Reading the last of the trilogy now and have enjoyed it very much. I probably enjoyed it because I am very familiar with the area that she wrote about. I had relatives who lived in all the areas she wrote about and had visited that area many times. 	 0
Loved it!  I enjoyed all the references to the hokey celebrity xmas specials of my youth.  And the nod to Pee Wee Herman's xmas special - a classic.  I nearly fell out of my chair laughing when Stephen chimed in on Willie Nelson's homage to xmas weed.  It's a direct musical quote from the strangest xmas duet of all time --- David Bowie and Bing Crosby singing Little Drummer Boy.  YouTube it.  It was surreal then, it's surreal now.  Hats off to the songwriters.  Very, very clever all the way around.  And Jon Stewart!!  What a gem!  ("And now, for the Hannukah portion of the show . . ." to quote Mrs. Rene from Pee Wee's show.)  And did I catch a Kirk/Spock moment there through the cabin door?  I got goosebumps.Can't recommend it highly enough.  If you have a bent sense of humor and love pop culture this show will push your buttons.p.s.  I can't tell if Toby Keith is in on the joke or not.  It reminds me of Warhol's Tomato Soup can.  Soup.  Art.  Soup.  Art. 	 0
4.5 StarsThis was my first time reading the author's work and it was my first time reading the series.  I had a lot of fun with the characters and the storyline.  This was a good book and I enjoyed it a lot.  I would recommend this book to others.  I was given an ARC in exchange for an honest review.I liked this book so much I could not put it down! I love the characters and the story line! It's very realistic! I want to see more of the old school soldiers, but I'm not sure I want to read a story about a man who is so broken and confused that he doesn't know who to trust or care for. I love the fact that the author does not give the reader a definitive answer for what caused her to be so broken and confused. I look forward to reading more books by this author!I received this book as a gift from the author.This is the first book I've read by this author and I'm glad I did.  She's done it again.  The story line is fast paced and flows very well.  I loved the characters and the story line.  It's not a short story but it's a great read.  I would recommend this book to everyone.I really enjoyed reading this book. It was well written and I really enjoyed the characters.  It was sweet and sexy.  I love the way the story flowed and the way the story progressed.  It was a fun read.  	 1
I drink a lot of cocktails and like to have the drink chilled. If you freeze the glass it has a large glass base that helps with keeping the cocktail chilled. The price is a bit high but it works. 	 0
I received my set fast and it was well packaged.  The set comes in a pretty blue that brightens up your kitchen.  The handles are see through plastic with a nice hole for hanging.  The brush has a white handle and the silicone bristles are blue.  The brush head removes for easy cleaning and is very durable and works great at spreading the BBQ sauce.  I have used other silicone brushes before but they did not come apart and they would get built up discoloration or food particles where the head connected to the handle.  The brush head stays on very well during use also.  The spatulas are all well attached and no matter how hard I pulled them they did not loosen or pull off the handles.  I have had so many of the rubber or silicone spatulas pull off and its so aggravating.  They handles are large and sturdy and very easy to grasp and use.  They are easy to clean and I just throw my in my dishwasher. My favorite feature is unlike the rubber spatulas these don't stain or at least mine have not yet and I use them daily. My set came with a small spatula that measures 9 inches long and the spatula head is 2 3/4 long and 1 3/8 wide.  The medium spatula and spoon are 10 inches long and measure 3 1/4 long and around 2 1/2 inches wide. Perfect for your everyday cooking or baking needs. I received mine in exchange for a honest, unbiased review.  My opinions are my own and you can trust if I find fault in a product I will let you know. 	 0
The idea of bridenapping is a bit of an understatement. I did not understand how the author could have such 	 1
